PRECINCT NUMBER,PRECINCT NAME,DISTRICT NUMBER,DISTRICT NAME,DISTRICT TYPE,DISTRICT TYPE ABBR
34,PRECINCT 34,30,SMD 03-ANC 3F,SINGLE MEMBER DISTRICT,SMD
34,PRECINCT 34,30,SMD 04-ANC 3C,SINGLE MEMBER DISTRICT,SMD
34,PRECINCT 34,30,SMD 05-ANC 3C,SINGLE MEMBER DISTRICT,SMD
34,PRECINCT 34,30,SMD 07-ANC 3F,SINGLE MEMBER DISTRICT,SMD
35,PRECINCT 35,20,ANC 1C SMD 1-8,ADVISORY NEIGHBORHOOD COMM,ANC
35,PRECINCT 35,10,CITY OF WASHINGTON WARD 1,CITY WARD ,WARD
35,PRECINCT 35,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
35,PRECINCT 35,1,1ST CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
35,PRECINCT 35,30,SMD 04-ANC 1C,SINGLE MEMBER DISTRICT,SMD
35,PRECINCT 35,30,SMD 05-ANC 1C,SINGLE MEMBER DISTRICT,SMD
35,PRECINCT 35,30,SMD 06-ANC 1C,SINGLE MEMBER DISTRICT,SMD
36,PRECINCT 36,20,ANC 1A SMD 1-11,ADVISORY NEIGHBORHOOD COMM,ANC
36,PRECINCT 36,20,ANC 1B SMD 1-11,ADVISORY NEIGHBORHOOD COMM,ANC
36,PRECINCT 36,10,CITY OF WASHINGTON WARD 1,CITY WARD ,WARD
36,PRECINCT 36,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
36,PRECINCT 36,1,1ST CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
36,PRECINCT 36,30,SMD 03-ANC 1A,SINGLE MEMBER DISTRICT,SMD
36,PRECINCT 36,30,SMD 05-ANC 1B,SINGLE MEMBER DISTRICT,SMD
36,PRECINCT 36,30,SMD 07-ANC 1B,SINGLE MEMBER DISTRICT,SMD
36,PRECINCT 36,30,SMD 08-ANC 1B,SINGLE MEMBER DISTRICT,SMD
36,PRECINCT 36,30,SMD 09-ANC 1B,SINGLE MEMBER DISTRICT,SMD
36,PRECINCT 36,30,SMD 11-ANC 1A,SINGLE MEMBER DISTRICT,SMD
37,PRECINCT 37,20,ANC 1A SMD 1-11,ADVISORY NEIGHBORHOOD COMM,ANC
37,PRECINCT 37,20,ANC 1B SMD 1-11,ADVISORY NEIGHBORHOOD COMM,ANC
37,PRECINCT 37,10,CITY OF WASHINGTON WARD 1,CITY WARD ,WARD
37,PRECINCT 37,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
37,PRECINCT 37,1,1ST CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
37,PRECINCT 37,30,SMD 01-ANC 1B,SINGLE MEMBER DISTRICT,SMD
37,PRECINCT 37,30,SMD 03-ANC 1B,SINGLE MEMBER DISTRICT,SMD
37,PRECINCT 37,30,SMD 09-ANC 1B,SINGLE MEMBER DISTRICT,SMD
37,PRECINCT 37,30,SMD 10-ANC 1A,SINGLE MEMBER DISTRICT,SMD
37,PRECINCT 37,30,SMD 10-ANC 1B,SINGLE MEMBER DISTRICT,SMD
37,PRECINCT 37,30,SMD 11-ANC 1B,SINGLE MEMBER DISTRICT,SMD
38,PRECINCT 38,20,ANC 1A SMD 1-11,ADVISORY NEIGHBORHOOD COMM,ANC
38,PRECINCT 38,10,CITY OF WASHINGTON WARD 1,CITY WARD ,WARD
38,PRECINCT 38,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
38,PRECINCT 38,1,1ST CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
38,PRECINCT 38,30,SMD 06-ANC 1A,SINGLE MEMBER DISTRICT,SMD
38,PRECINCT 38,30,SMD 07-ANC 1A,SINGLE MEMBER DISTRICT,SMD
38,PRECINCT 38,30,SMD 09-ANC 1A,SINGLE MEMBER DISTRICT,SMD
38,PRECINCT 38,30,SMD 10-ANC 1A,SINGLE MEMBER DISTRICT,SMD
39,PRECINCT 39,20,ANC 1A SMD 1-11,ADVISORY NEIGHBORHOOD COMM,ANC
39,PRECINCT 39,20,ANC 1D SMD 1-6,ADVISORY NEIGHBORHOOD COMM,ANC
39,PRECINCT 39,10,CITY OF WASHINGTON WARD 1,CITY WARD ,WARD
39,PRECINCT 39,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
39,PRECINCT 39,1,1ST CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
39,PRECINCT 39,30,SMD 03-ANC 1A,SINGLE MEMBER DISTRICT,SMD
39,PRECINCT 39,30,SMD 04-ANC 1D,SINGLE MEMBER DISTRICT,SMD
39,PRECINCT 39,30,SMD 05-ANC 1A,SINGLE MEMBER DISTRICT,SMD
39,PRECINCT 39,30,SMD 05-ANC 1D,SINGLE MEMBER DISTRICT,SMD
39,PRECINCT 39,30,SMD 06-ANC 1A,SINGLE MEMBER DISTRICT,SMD
39,PRECINCT 39,30,SMD 06-ANC 1D,SINGLE MEMBER DISTRICT,SMD
39,PRECINCT 39,30,SMD 11-ANC 1A,SINGLE MEMBER DISTRICT,SMD
40,PRECINCT 40,20,ANC 1D SMD 1-6,ADVISORY NEIGHBORHOOD COMM,ANC
40,PRECINCT 40,10,CITY OF WASHINGTON WARD 1,CITY WARD ,WARD
40,PRECINCT 40,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
40,PRECINCT 40,1,1ST CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
40,PRECINCT 40,30,SMD 01-ANC 1D,SINGLE MEMBER DISTRICT,SMD
40,PRECINCT 40,30,SMD 02-ANC 1D,SINGLE MEMBER DISTRICT,SMD
40,PRECINCT 40,30,SMD 03-ANC 1D,SINGLE MEMBER DISTRICT,SMD
40,PRECINCT 40,30,SMD 04-ANC 1D,SINGLE MEMBER DISTRICT,SMD
41,PRECINCT 41,20,ANC 1A SMD 1-11,ADVISORY NEIGHBORHOOD COMM,ANC
41,PRECINCT 41,10,CITY OF WASHINGTON WARD 1,CITY WARD ,WARD
41,PRECINCT 41,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
41,PRECINCT 41,1,1ST CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
41,PRECINCT 41,30,SMD 01-ANC 1A,SINGLE MEMBER DISTRICT,SMD
41,PRECINCT 41,30,SMD 02-ANC 1A,SINGLE MEMBER DISTRICT,SMD
41,PRECINCT 41,30,SMD 04-ANC 1A,SINGLE MEMBER DISTRICT,SMD
41,PRECINCT 41,30,SMD 05-ANC 1A,SINGLE MEMBER DISTRICT,SMD
41,PRECINCT 41,30,SMD 07-ANC 1A,SINGLE MEMBER DISTRICT,SMD
42,PRECINCT 42,20,ANC 1A SMD 1-11,ADVISORY NEIGHBORHOOD COMM,ANC
42,PRECINCT 42,10,CITY OF WASHINGTON WARD 1,CITY WARD ,WARD
42,PRECINCT 42,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
42,PRECINCT 42,1,1ST CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
42,PRECINCT 42,30,SMD 04-ANC 1A,SINGLE MEMBER DISTRICT,SMD
42,PRECINCT 42,30,SMD 06-ANC 1A,SINGLE MEMBER DISTRICT,SMD
42,PRECINCT 42,30,SMD 07-ANC 1A,SINGLE MEMBER DISTRICT,SMD
42,PRECINCT 42,30,SMD 08-ANC 1A,SINGLE MEMBER DISTRICT,SMD
43,PRECINCT 43,20,ANC 1A SMD 1-11,ADVISORY NEIGHBORHOOD COMM,ANC
43,PRECINCT 43,10,CITY OF WASHINGTON WARD 1,CITY WARD ,WARD
43,PRECINCT 43,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
43,PRECINCT 43,1,1ST CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
43,PRECINCT 43,30,SMD 08-ANC 1A,SINGLE MEMBER DISTRICT,SMD
43,PRECINCT 43,30,SMD 09-ANC 1A,SINGLE MEMBER DISTRICT,SMD
44,PRECINCT 44,20,ANC 5A SMD 1-12,ADVISORY NEIGHBORHOOD COMM,ANC
44,PRECINCT 44,20,ANC 5C SMD 1-12,ADVISORY NEIGHBORHOOD COMM,ANC
44,PRECINCT 44,10,CITY OF WASHINGTON WARD 5,CITY WARD ,WARD
44,PRECINCT 44,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
44,PRECINCT 44,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
44,PRECINCT 44,30,SMD 01-ANC 5A,SINGLE MEMBER DISTRICT,SMD
44,PRECINCT 44,30,SMD 07-ANC 5C,SINGLE MEMBER DISTRICT,SMD
44,PRECINCT 44,30,SMD 10-ANC 5C,SINGLE MEMBER DISTRICT,SMD
44,PRECINCT 44,30,SMD 11-ANC 5C,SINGLE MEMBER DISTRICT,SMD
44,PRECINCT 44,30,SMD 12-ANC 5C,SINGLE MEMBER DISTRICT,SMD
45,PRECINCT 45,20,ANC 4C SMD 1-10,ADVISORY NEIGHBORHOOD COMM,ANC
45,PRECINCT 45,10,CITY OF WASHINGTON WARD 4,CITY WARD ,WARD
45,PRECINCT 45,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
45,PRECINCT 45,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
45,PRECINCT 45,30,SMD 07-ANC 4C,SINGLE MEMBER DISTRICT,SMD
45,PRECINCT 45,30,SMD 08-ANC 4C,SINGLE MEMBER DISTRICT,SMD
45,PRECINCT 45,30,SMD 10-ANC 4C,SINGLE MEMBER DISTRICT,SMD
46,PRECINCT 46,20,ANC 4C SMD 1-10,ADVISORY NEIGHBORHOOD COMM,ANC
46,PRECINCT 46,20,ANC 4D SMD 1-6,ADVISORY NEIGHBORHOOD COMM,ANC
46,PRECINCT 46,10,CITY OF WASHINGTON WARD 4,CITY WARD ,WARD
46,PRECINCT 46,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
46,PRECINCT 46,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
46,PRECINCT 46,30,SMD 06-ANC 4D,SINGLE MEMBER DISTRICT,SMD
46,PRECINCT 46,30,SMD 07-ANC 4C,SINGLE MEMBER DISTRICT,SMD
46,PRECINCT 46,30,SMD 09-ANC 4C,SINGLE MEMBER DISTRICT,SMD
46,PRECINCT 46,30,SMD 10-ANC 4C,SINGLE MEMBER DISTRICT,SMD
47,PRECINCT 47,20,ANC 4A SMD 1-8,ADVISORY NEIGHBORHOOD COMM,ANC
47,PRECINCT 47,20,ANC 4C SMD 1-10,ADVISORY NEIGHBORHOOD COMM,ANC
47,PRECINCT 47,10,CITY OF WASHINGTON WARD 4,CITY WARD ,WARD
47,PRECINCT 47,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
47,PRECINCT 47,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
47,PRECINCT 47,30,SMD 04-ANC 4C,SINGLE MEMBER DISTRICT,SMD
47,PRECINCT 47,30,SMD 05-ANC 4C,SINGLE MEMBER DISTRICT,SMD
47,PRECINCT 47,30,SMD 06-ANC 4C,SINGLE MEMBER DISTRICT,SMD
47,PRECINCT 47,30,SMD 07-ANC 4C,SINGLE MEMBER DISTRICT,SMD
47,PRECINCT 47,30,SMD 08-ANC 4A,SINGLE MEMBER DISTRICT,SMD
48,PRECINCT 48,20,ANC 4A SMD 1-8,ADVISORY NEIGHBORHOOD COMM,ANC
48,PRECINCT 48,20,ANC 4C SMD 1-10,ADVISORY NEIGHBORHOOD COMM,ANC
48,PRECINCT 48,10,CITY OF WASHINGTON WARD 4,CITY WARD ,WARD
48,PRECINCT 48,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
48,PRECINCT 48,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
48,PRECINCT 48,30,SMD 02-ANC 4C,SINGLE MEMBER DISTRICT,SMD
48,PRECINCT 48,30,SMD 03-ANC 4C,SINGLE MEMBER DISTRICT,SMD
48,PRECINCT 48,30,SMD 05-ANC 4C,SINGLE MEMBER DISTRICT,SMD
48,PRECINCT 48,30,SMD 07-ANC 4C,SINGLE MEMBER DISTRICT,SMD
48,PRECINCT 48,30,SMD 08-ANC 4A,SINGLE MEMBER DISTRICT,SMD
49,PRECINCT 49,20,ANC 4C SMD 1-10,ADVISORY NEIGHBORHOOD COMM,ANC
49,PRECINCT 49,10,CITY OF WASHINGTON WARD 4,CITY WARD ,WARD
49,PRECINCT 49,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
49,PRECINCT 49,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
49,PRECINCT 49,30,SMD 05-ANC 4C,SINGLE MEMBER DISTRICT,SMD
49,PRECINCT 49,30,SMD 06-ANC 4C,SINGLE MEMBER DISTRICT,SMD
49,PRECINCT 49,30,SMD 08-ANC 4C,SINGLE MEMBER DISTRICT,SMD
50,PRECINCT 50,20,ANC 3G SMD 1-7,ADVISORY NEIGHBORHOOD COMM,ANC
50,PRECINCT 50,10,CITY OF WASHINGTON WARD 3,CITY WARD ,WARD
50,PRECINCT 50,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
50,PRECINCT 50,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
50,PRECINCT 50,30,SMD 03-ANC 3G,SINGLE MEMBER DISTRICT,SMD
50,PRECINCT 50,30,SMD 05-ANC 3G,SINGLE MEMBER DISTRICT,SMD
50,PRECINCT 50,30,SMD 06-ANC 3G,SINGLE MEMBER DISTRICT,SMD
50,PRECINCT 50,30,SMD 07-ANC 3G,SINGLE MEMBER DISTRICT,SMD
51,PRECINCT 51,20,ANC 3G SMD 1-7,ADVISORY NEIGHBORHOOD COMM,ANC
51,PRECINCT 51,10,CITY OF WASHINGTON WARD 4,CITY WARD ,WARD
51,PRECINCT 51,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
51,PRECINCT 51,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
51,PRECINCT 51,30,SMD 01-ANC 3G,SINGLE MEMBER DISTRICT,SMD
51,PRECINCT 51,30,SMD 02-ANC 3G,SINGLE MEMBER DISTRICT,SMD
51,PRECINCT 51,30,SMD 03-ANC 3G,SINGLE MEMBER DISTRICT,SMD
51,PRECINCT 51,30,SMD 04-ANC 3G,SINGLE MEMBER DISTRICT,SMD
52,PRECINCT 52,20,ANC 3G SMD 1-7,ADVISORY NEIGHBORHOOD COMM,ANC
52,PRECINCT 52,10,CITY OF WASHINGTON WARD 4,CITY WARD ,WARD
52,PRECINCT 52,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
52,PRECINCT 52,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
52,PRECINCT 52,30,SMD 02-ANC 3G,SINGLE MEMBER DISTRICT,SMD
52,PRECINCT 52,30,SMD 03-ANC 3G,SINGLE MEMBER DISTRICT,SMD
53,PRECINCT 53,20,ANC 4A SMD 1-8,ADVISORY NEIGHBORHOOD COMM,ANC
53,PRECINCT 53,10,CITY OF WASHINGTON WARD 4,CITY WARD ,WARD
53,PRECINCT 53,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
53,PRECINCT 53,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
53,PRECINCT 53,30,SMD 06-ANC 4A,SINGLE MEMBER DISTRICT,SMD
53,PRECINCT 53,30,SMD 07-ANC 4A,SINGLE MEMBER DISTRICT,SMD
53,PRECINCT 53,30,SMD 08-ANC 4A,SINGLE MEMBER DISTRICT,SMD
54,PRECINCT 54,20,ANC 4C SMD 1-10,ADVISORY NEIGHBORHOOD COMM,ANC
54,PRECINCT 54,10,CITY OF WASHINGTON WARD 4,CITY WARD ,WARD
54,PRECINCT 54,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
54,PRECINCT 54,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
54,PRECINCT 54,30,SMD 01-ANC 4C,SINGLE MEMBER DISTRICT,SMD
54,PRECINCT 54,30,SMD 02-ANC 4C,SINGLE MEMBER DISTRICT,SMD
55,PRECINCT 55,20,ANC 4C SMD 1-10,ADVISORY NEIGHBORHOOD COMM,ANC
55,PRECINCT 55,20,ANC 4D SMD 1-6,ADVISORY NEIGHBORHOOD COMM,ANC
55,PRECINCT 55,10,CITY OF WASHINGTON WARD 4,CITY WARD ,WARD
55,PRECINCT 55,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
55,PRECINCT 55,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
55,PRECINCT 55,30,SMD 03-ANC 4D,SINGLE MEMBER DISTRICT,SMD
55,PRECINCT 55,30,SMD 04-ANC 4D,SINGLE MEMBER DISTRICT,SMD
55,PRECINCT 55,30,SMD 05-ANC 4D,SINGLE MEMBER DISTRICT,SMD
55,PRECINCT 55,30,SMD 06-ANC 4D,SINGLE MEMBER DISTRICT,SMD
55,PRECINCT 55,30,SMD 09-ANC 4C,SINGLE MEMBER DISTRICT,SMD
56,PRECINCT 56,20,ANC 4D SMD 1-6,ADVISORY NEIGHBORHOOD COMM,ANC
56,PRECINCT 56,10,CITY OF WASHINGTON WARD 4,CITY WARD ,WARD
56,PRECINCT 56,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
56,PRECINCT 56,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
56,PRECINCT 56,30,SMD 01-ANC 4D,SINGLE MEMBER DISTRICT,SMD
56,PRECINCT 56,30,SMD 02-ANC 4D,SINGLE MEMBER DISTRICT,SMD
56,PRECINCT 56,30,SMD 03-ANC 4D,SINGLE MEMBER DISTRICT,SMD
56,PRECINCT 56,30,SMD 04-ANC 4D,SINGLE MEMBER DISTRICT,SMD
57,PRECINCT 57,20,ANC 4B SMD 1-9,ADVISORY NEIGHBORHOOD COMM,ANC
57,PRECINCT 57,20,ANC 4D SMD 1-6,ADVISORY NEIGHBORHOOD COMM,ANC
57,PRECINCT 57,10,CITY OF WASHINGTON WARD 4,CITY WARD ,WARD
57,PRECINCT 57,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
57,PRECINCT 57,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
57,PRECINCT 57,30,SMD 02-ANC 4D,SINGLE MEMBER DISTRICT,SMD
57,PRECINCT 57,30,SMD 03-ANC 4D,SINGLE MEMBER DISTRICT,SMD
57,PRECINCT 57,30,SMD 05-ANC 4D,SINGLE MEMBER DISTRICT,SMD
57,PRECINCT 57,30,SMD 06-ANC 4B,SINGLE MEMBER DISTRICT,SMD
57,PRECINCT 57,30,SMD 08-ANC 4B,SINGLE MEMBER DISTRICT,SMD
58,PRECINCT 58,20,ANC 4B SMD 1-9,ADVISORY NEIGHBORHOOD COMM,ANC
58,PRECINCT 58,10,CITY OF WASHINGTON WARD 4,CITY WARD ,WARD
58,PRECINCT 58,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
58,PRECINCT 58,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
58,PRECINCT 58,30,SMD 04-ANC 4B,SINGLE MEMBER DISTRICT,SMD
58,PRECINCT 58,30,SMD 05-ANC 4B,SINGLE MEMBER DISTRICT,SMD
59,PRECINCT 59,20,ANC 4B SMD 1-9,ADVISORY NEIGHBORHOOD COMM,ANC
59,PRECINCT 59,10,CITY OF WASHINGTON WARD 4,CITY WARD ,WARD
59,PRECINCT 59,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
59,PRECINCT 59,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
59,PRECINCT 59,30,SMD 03-ANC 4B,SINGLE MEMBER DISTRICT,SMD
59,PRECINCT 59,30,SMD 04-ANC 4B,SINGLE MEMBER DISTRICT,SMD
59,PRECINCT 59,30,SMD 06-ANC 4B,SINGLE MEMBER DISTRICT,SMD
60,PRECINCT 60,20,ANC 4A SMD 1-8,ADVISORY NEIGHBORHOOD COMM,ANC
60,PRECINCT 60,10,CITY OF WASHINGTON WARD 4,CITY WARD ,WARD
60,PRECINCT 60,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
60,PRECINCT 60,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
60,PRECINCT 60,30,SMD 04-ANC 4A,SINGLE MEMBER DISTRICT,SMD
60,PRECINCT 60,30,SMD 05-ANC 4A,SINGLE MEMBER DISTRICT,SMD
60,PRECINCT 60,30,SMD 06-ANC 4A,SINGLE MEMBER DISTRICT,SMD
60,PRECINCT 60,30,SMD 07-ANC 4A,SINGLE MEMBER DISTRICT,SMD
61,PRECINCT 61,20,ANC 4A SMD 1-8,ADVISORY NEIGHBORHOOD COMM,ANC
61,PRECINCT 61,10,CITY OF WASHINGTON WARD 4,CITY WARD ,WARD
61,PRECINCT 61,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
61,PRECINCT 61,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
61,PRECINCT 61,30,SMD 01-ANC 4A,SINGLE MEMBER DISTRICT,SMD
61,PRECINCT 61,30,SMD 03-ANC 4A,SINGLE MEMBER DISTRICT,SMD
61,PRECINCT 61,30,SMD 04-ANC 4A,SINGLE MEMBER DISTRICT,SMD
61,PRECINCT 61,30,SMD 07-ANC 4A,SINGLE MEMBER DISTRICT,SMD
62,PRECINCT 62,20,ANC 4A SMD 1-8,ADVISORY NEIGHBORHOOD COMM,ANC
62,PRECINCT 62,10,CITY OF WASHINGTON WARD 4,CITY WARD ,WARD
62,PRECINCT 62,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
62,PRECINCT 62,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
62,PRECINCT 62,30,SMD 01-ANC 4A,SINGLE MEMBER DISTRICT,SMD
62,PRECINCT 62,30,SMD 02-ANC 4A,SINGLE MEMBER DISTRICT,SMD
62,PRECINCT 62,30,SMD 03-ANC 4A,SINGLE MEMBER DISTRICT,SMD
63,PRECINCT 63,20,ANC 4B SMD 1-9,ADVISORY NEIGHBORHOOD COMM,ANC
63,PRECINCT 63,10,CITY OF WASHINGTON WARD 4,CITY WARD ,WARD
63,PRECINCT 63,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
63,PRECINCT 63,1,1ST CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
63,PRECINCT 63,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
63,PRECINCT 63,30,SMD 01-ANC 4B,SINGLE MEMBER DISTRICT,SMD
63,PRECINCT 63,30,SMD 02-ANC 4B,SINGLE MEMBER DISTRICT,SMD
63,PRECINCT 63,30,SMD 07-ANC 4B,SINGLE MEMBER DISTRICT,SMD
64,PRECINCT 64,20,ANC 4B SMD 1-9,ADVISORY NEIGHBORHOOD COMM,ANC
64,PRECINCT 64,10,CITY OF WASHINGTON WARD 4,CITY WARD ,WARD
64,PRECINCT 64,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
64,PRECINCT 64,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
64,PRECINCT 64,30,SMD 06-ANC 4B,SINGLE MEMBER DISTRICT,SMD
64,PRECINCT 64,30,SMD 07-ANC 4B,SINGLE MEMBER DISTRICT,SMD
64,PRECINCT 64,30,SMD 08-ANC 4B,SINGLE MEMBER DISTRICT,SMD
65,PRECINCT 65,20,ANC 4B SMD 1-9,ADVISORY NEIGHBORHOOD COMM,ANC
65,PRECINCT 65,10,CITY OF WASHINGTON WARD 4,CITY WARD ,WARD
65,PRECINCT 65,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
65,PRECINCT 65,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
65,PRECINCT 65,30,SMD 08-ANC 4B,SINGLE MEMBER DISTRICT,SMD
65,PRECINCT 65,30,SMD 09-ANC 4B,SINGLE MEMBER DISTRICT,SMD
66,PRECINCT 66,20,ANC 5A SMD 1-12,ADVISORY NEIGHBORHOOD COMM,ANC
66,PRECINCT 66,10,CITY OF WASHINGTON WARD 5,CITY WARD ,WARD
66,PRECINCT 66,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
66,PRECINCT 66,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
66,PRECINCT 66,30,SMD 01-ANC 5A,SINGLE MEMBER DISTRICT,SMD
66,PRECINCT 66,30,SMD 02-ANC 5A,SINGLE MEMBER DISTRICT,SMD
66,PRECINCT 66,30,SMD 03-ANC 5A,SINGLE MEMBER DISTRICT,SMD
66,PRECINCT 66,30,SMD 04-ANC 5A,SINGLE MEMBER DISTRICT,SMD
66,PRECINCT 66,30,SMD 08-ANC 5A,SINGLE MEMBER DISTRICT,SMD
67,PRECINCT 67,20,ANC 5A SMD 1-12,ADVISORY NEIGHBORHOOD COMM,ANC
67,PRECINCT 67,10,CITY OF WASHINGTON WARD 5,CITY WARD ,WARD
67,PRECINCT 67,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
67,PRECINCT 67,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
67,PRECINCT 67,30,SMD 04-ANC 5A,SINGLE MEMBER DISTRICT,SMD
67,PRECINCT 67,30,SMD 05-ANC 5A,SINGLE MEMBER DISTRICT,SMD
67,PRECINCT 67,30,SMD 08-ANC 5A,SINGLE MEMBER DISTRICT,SMD
68,PRECINCT 68,20,ANC 5A SMD 1-12,ADVISORY NEIGHBORHOOD COMM,ANC
68,PRECINCT 68,20,ANC 5C SMD 1-12,ADVISORY NEIGHBORHOOD COMM,ANC
68,PRECINCT 68,10,CITY OF WASHINGTON WARD 5,CITY WARD ,WARD
68,PRECINCT 68,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
68,PRECINCT 68,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
68,PRECINCT 68,30,SMD 06-ANC 5A,SINGLE MEMBER DISTRICT,SMD
68,PRECINCT 68,30,SMD 07-ANC 5A,SINGLE MEMBER DISTRICT,SMD
68,PRECINCT 68,30,SMD 08-ANC 5A,SINGLE MEMBER DISTRICT,SMD
68,PRECINCT 68,30,SMD 10-ANC 5C,SINGLE MEMBER DISTRICT,SMD
69,PRECINCT 69,20,ANC 5A SMD 1-12,ADVISORY NEIGHBORHOOD COMM,ANC
69,PRECINCT 69,10,CITY OF WASHINGTON WARD 5,CITY WARD ,WARD
69,PRECINCT 69,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
69,PRECINCT 69,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
69,PRECINCT 69,30,SMD 09-ANC 5A,SINGLE MEMBER DISTRICT,SMD
